epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,10142.3,1.25595,0.81082,1.04659,0.62064,0.62699,0.50513,0.32433,1.17756,0.91207,0.98354,0.00401,0.00401,0.00401
4,13504.3,1.19247,0.74973,1.01896,0.65053,0.64268,0.60497,0.40566,1.22381,0.76374,0.99511,0.003515,0.003515,0.003515
5,16847.4,1.15925,0.6924,1.00374,0.89295,0.53127,0.59925,0.40555,1.1618,0.73432,0.98455,0.00302,0.00302,0.00302
6,20210.4,1.12333,0.65223,0.99231,0.82068,0.58823,0.53766,0.34009,1.22818,0.75354,1.00893,0.002525,0.002525,0.002525
7,23622.2,1.09977,0.60448,0.978,0.67101,0.66037,0.62008,0.41484,1.13693,0.69043,0.96984,0.00203,0.00203,0.00203
8,27047.5,1.07233,0.56642,0.9686,0.64771,0.69169,0.68033,0.45383,1.17475,0.72575,0.98327,0.001535,0.001535,0.001535
9,30427.9,1.03856,0.53427,0.95821,0.5906,0.72895,0.60102,0.41229,1.13973,0.72683,0.972,0.00104,0.00104,0.00104
10,33793.7,1.005,0.49781,0.94446,0.82784,0.62901,0.62344,0.4318,1.14028,0.69262,0.97671,0.000545,0.000545,0.000545
1,3240.57,1.18376,0.76465,0.98154,0.70932,0.55963,0.61277,0.3919,1.21742,0.76126,1.01459,0.00565517,0.00496552,0.00496552
2,6532.61,1.18322,0.76697,0.99426,0.65819,0.61151,0.54778,0.35576,1.20136,0.76967,0.9969,0.0049505,0.0049505,0.0049505
3,9869.73,1.17672,0.7372,0.98704,0.84058,0.545,0.51999,0.33615,1.19299,0.82513,1.00738,0.004901,0.004901,0.004901
4,13182.1,1.17278,0.70583,0.98058,0.61812,0.73897,0.63252,0.42584,1.14822,0.74732,0.98038,0.0048515,0.0048515,0.0048515
5,16400.1,1.1263,0.68158,0.97173,0.55908,0.69372,0.59707,0.38751,1.17964,0.79975,1.00535,0.004802,0.004802,0.004802
6,19679.1,1.12186,0.6738,0.96665,0.63204,0.57838,0.54536,0.36693,1.12879,0.74754,0.96446,0.0047525,0.0047525,0.0047525
7,22862,1.09349,0.63371,0.95437,0.57306,0.65522,0.58588,0.39854,1.17683,0.8174,0.98269,0.004703,0.004703,0.004703
8,25983.4,1.09739,0.63339,0.95785,0.8127,0.62301,0.6537,0.45669,1.14157,0.73766,0.97488,0.0046535,0.0046535,0.0046535
9,29103.4,1.08734,0.62574,0.94986,0.70608,0.61622,0.61103,0.40357,1.15512,0.74781,0.97729,0.004604,0.004604,0.004604
10,32251.3,1.07644,0.6132,0.95531,0.79723,0.61586,0.59384,0.38894,1.17973,0.7409,0.99459,0.0045545,0.0045545,0.0045545
11,35367.6,1.07528,0.61203,0.94991,0.79793,0.58176,0.58046,0.36489,1.18382,0.80484,0.99405,0.004505,0.004505,0.004505
12,38492,1.06783,0.5996,0.9463,0.82148,0.61567,0.58297,0.38928,1.16553,0.73188,0.9779,0.0044555,0.0044555,0.0044555
13,41638.8,1.05553,0.57874,0.93916,0.67165,0.62184,0.60836,0.41621,1.11058,0.7754,0.97228,0.004406,0.004406,0.004406
14,44760.2,1.04318,0.58011,0.93801,0.73532,0.66617,0.67527,0.4697,1.12647,0.70977,0.97878,0.0043565,0.0043565,0.0043565
15,47873.4,1.03539,0.55647,0.93681,0.80335,0.59236,0.61949,0.41865,1.18326,0.75364,0.97805,0.004307,0.004307,0.004307
16,50991.1,1.02519,0.55624,0.93626,0.72847,0.63381,0.60873,0.42317,1.1277,0.6795,0.96632,0.0042575,0.0042575,0.0042575
17,54103.6,1.00964,0.5422,0.92713,0.8226,0.62,0.6004,0.41556,1.12552,0.72602,0.97711,0.004208,0.004208,0.004208
18,57218.9,1.0016,0.54388,0.93058,0.79047,0.52409,0.557,0.36929,1.21922,0.80948,0.99464,0.0041585,0.0041585,0.0041585
19,60363.8,1.00363,0.54159,0.92541,0.60196,0.72448,0.63209,0.42977,1.15244,0.72803,0.96861,0.004109,0.004109,0.004109
20,63486.8,1.00198,0.52932,0.92571,0.81463,0.65146,0.60484,0.42654,1.13139,0.73708,0.97707,0.0040595,0.0040595,0.0040595
21,66631.2,1.0042,0.5324,0.92394,0.74428,0.63106,0.59903,0.4189,1.12839,0.72432,0.96863,0.00401,0.00401,0.00401
22,69749.1,0.98592,0.51467,0.91798,0.80099,0.63686,0.61897,0.42236,1.13026,0.70261,0.97464,0.0039605,0.0039605,0.0039605
23,72860.4,0.97131,0.51552,0.91451,0.72165,0.62681,0.63524,0.43246,1.11231,0.69532,0.96566,0.003911,0.003911,0.003911
24,76020.5,0.96668,0.50426,0.91375,0.73235,0.61553,0.62421,0.43575,1.1274,0.70549,0.97522,0.0038615,0.0038615,0.0038615
25,79169.9,0.96796,0.50143,0.91261,0.82782,0.63696,0.59303,0.40629,1.14904,0.71762,0.97136,0.003812,0.003812,0.003812
26,82319.1,0.95456,0.4969,0.91304,0.71,0.66478,0.6167,0.42212,1.12049,0.70567,0.96313,0.0037625,0.0037625,0.0037625
27,85429.2,0.95992,0.49864,0.91463,0.8005,0.63081,0.59258,0.41297,1.13095,0.7416,0.96974,0.003713,0.003713,0.003713
28,88540.6,0.93987,0.48618,0.90893,0.72735,0.63505,0.61259,0.42489,1.14254,0.70977,0.977,0.0036635,0.0036635,0.0036635
29,91688.3,0.95045,0.48795,0.91066,0.80706,0.65935,0.58983,0.4035,1.1593,0.71854,0.9726,0.003614,0.003614,0.003614
30,94805.7,0.94272,0.48303,0.90407,0.82961,0.63212,0.61244,0.4263,1.13627,0.72182,0.98216,0.0035645,0.0035645,0.0035645
31,97913.8,0.94287,0.48781,0.9096,0.74575,0.63003,0.61249,0.42457,1.15364,0.69769,0.96601,0.003515,0.003515,0.003515
32,101062,0.91838,0.47181,0.90138,0.52555,0.80819,0.56588,0.39406,1.12365,0.70891,0.96943,0.0034655,0.0034655,0.0034655
33,104199,0.93046,0.4769,0.90453,0.60039,0.73116,0.59898,0.41888,1.12212,0.71185,0.97159,0.003416,0.003416,0.003416
34,107348,0.92719,0.4745,0.90179,0.72814,0.63384,0.58947,0.4117,1.12255,0.7326,0.97582,0.0033665,0.0033665,0.0033665
35,110456,0.91355,0.4658,0.89809,0.6153,0.73456,0.64258,0.45065,1.10886,0.71244,0.96682,0.003317,0.003317,0.003317
36,113604,0.92784,0.46623,0.9012,0.72044,0.63377,0.62349,0.42171,1.13686,0.72351,0.96856,0.0032675,0.0032675,0.0032675
37,116744,0.90818,0.45532,0.89875,0.71902,0.6296,0.61583,0.41899,1.13773,0.7176,0.96477,0.003218,0.003218,0.003218
38,119895,0.91436,0.45563,0.89765,0.5793,0.74046,0.5933,0.40216,1.15312,0.74861,0.971,0.0031685,0.0031685,0.0031685
39,123046,0.88934,0.45033,0.8923,0.71627,0.64157,0.62334,0.43796,1.12764,0.75636,0.96941,0.003119,0.003119,0.003119
40,126191,0.89192,0.4479,0.89043,0.81429,0.64546,0.5967,0.41568,1.11504,0.73209,0.96724,0.0030695,0.0030695,0.0030695
41,129298,0.88965,0.44177,0.89008,0.72137,0.6439,0.60082,0.41622,1.12779,0.73564,0.96938,0.00302,0.00302,0.00302
42,132443,0.88277,0.43986,0.89097,0.81976,0.64098,0.59245,0.41489,1.12457,0.72989,0.96562,0.0029705,0.0029705,0.0029705
43,135555,0.88041,0.44254,0.89089,0.71916,0.62535,0.60387,0.41877,1.11988,0.71371,0.96848,0.002921,0.002921,0.002921
44,138697,0.872,0.43333,0.89045,0.81768,0.64344,0.59744,0.40987,1.09989,0.70831,0.96146,0.0028715,0.0028715,0.0028715
45,141805,0.87405,0.43269,0.88758,0.609,0.73839,0.60201,0.42049,1.13175,0.77297,0.97896,0.002822,0.002822,0.002822
46,144950,0.86839,0.43058,0.88627,0.7185,0.64478,0.60862,0.42977,1.11891,0.71495,0.96112,0.0027725,0.0027725,0.0027725
47,148055,0.85725,0.42928,0.88304,0.80464,0.64645,0.61446,0.42248,1.11374,0.72327,0.96237,0.002723,0.002723,0.002723
48,151200,0.85271,0.42637,0.8835,0.81371,0.64574,0.61383,0.423,1.11596,0.71425,0.97113,0.0026735,0.0026735,0.0026735
49,154307,0.85991,0.426,0.88411,0.8197,0.6292,0.61115,0.42734,1.12184,0.69401,0.96249,0.002624,0.002624,0.002624
50,157449,0.85703,0.42556,0.88302,0.81513,0.64169,0.60131,0.41504,1.11354,0.70735,0.9641,0.0025745,0.0025745,0.0025745
51,160587,0.85054,0.42019,0.88342,0.6247,0.77804,0.63589,0.43973,1.11091,0.73947,0.97699,0.002525,0.002525,0.002525
52,163708,0.85508,0.42549,0.88407,0.62794,0.78336,0.63858,0.43791,1.12093,0.70214,0.96489,0.0024755,0.0024755,0.0024755
53,166816,0.83722,0.41652,0.8789,0.6323,0.77815,0.65111,0.44644,1.14334,0.72662,0.97365,0.002426,0.002426,0.002426
54,169960,0.82731,0.41138,0.87986,0.62811,0.787,0.63781,0.43044,1.12197,0.7183,0.96839,0.0023765,0.0023765,0.0023765
55,173068,0.83102,0.40882,0.8754,0.64998,0.77923,0.63937,0.45135,1.13713,0.70215,0.97157,0.002327,0.002327,0.002327
56,176213,0.82658,0.40351,0.87345,0.58395,0.77723,0.62556,0.42585,1.14176,0.73329,0.97105,0.0022775,0.0022775,0.0022775
57,179319,0.81956,0.40351,0.87702,0.63272,0.78602,0.64395,0.44825,1.11665,0.67715,0.96051,0.002228,0.002228,0.002228
58,182432,0.82373,0.40307,0.87528,0.77366,0.66804,0.63174,0.44472,1.12826,0.6696,0.96491,0.0021785,0.0021785,0.0021785
59,185541,0.80507,0.39838,0.87133,0.62104,0.74772,0.60525,0.41754,1.1341,0.71889,0.97631,0.002129,0.002129,0.002129
60,188686,0.81017,0.3994,0.8741,0.80575,0.64491,0.60843,0.42043,1.13726,0.73472,0.97139,0.0020795,0.0020795,0.0020795
61,191790,0.80177,0.39413,0.872,0.82165,0.63463,0.6268,0.43192,1.14504,0.70274,0.9766,0.00203,0.00203,0.00203
62,194932,0.80626,0.3979,0.87379,0.80871,0.64078,0.6049,0.42668,1.12022,0.72687,0.96547,0.0019805,0.0019805,0.0019805
63,198037,0.80358,0.39608,0.87085,0.63104,0.78208,0.63727,0.4368,1.14528,0.6933,0.97711,0.001931,0.001931,0.001931
64,201156,0.7993,0.3915,0.87137,0.62981,0.77965,0.65249,0.44842,1.13424,0.72926,0.97065,0.0018815,0.0018815,0.0018815
65,204293,0.79548,0.39142,0.86943,0.80992,0.64702,0.60264,0.42152,1.13648,0.69767,0.97322,0.001832,0.001832,0.001832
66,207434,0.79412,0.38988,0.86969,0.62961,0.77219,0.62458,0.43387,1.16777,0.72448,0.98401,0.0017825,0.0017825,0.0017825
67,210571,0.80143,0.38868,0.87291,0.62582,0.7833,0.65486,0.45452,1.13949,0.7115,0.96716,0.001733,0.001733,0.001733
68,213684,0.7813,0.38325,0.86732,0.64472,0.7796,0.64006,0.45026,1.14681,0.72924,0.97272,0.0016835,0.0016835,0.0016835
69,216828,0.77281,0.38228,0.8676,0.6337,0.78505,0.6459,0.44997,1.13675,0.73006,0.96929,0.001634,0.001634,0.001634
70,219937,0.76613,0.37584,0.86487,0.62753,0.78337,0.63707,0.44923,1.14708,0.72664,0.97381,0.0015845,0.0015845,0.0015845
71,223080,0.77732,0.37949,0.86635,0.62947,0.78331,0.63668,0.44219,1.15806,0.7284,0.97497,0.001535,0.001535,0.001535
72,226187,0.77195,0.38171,0.86597,0.82165,0.6472,0.61449,0.4191,1.16932,0.72344,0.98397,0.0014855,0.0014855,0.0014855
73,229326,0.75463,0.37607,0.86187,0.62277,0.78647,0.63442,0.43309,1.1458,0.69917,0.97265,0.001436,0.001436,0.001436
74,232474,0.76183,0.37461,0.86184,0.62626,0.78799,0.6305,0.43291,1.14274,0.73585,0.97323,0.0013865,0.0013865,0.0013865
75,235615,0.75667,0.37025,0.86119,0.6289,0.79035,0.64718,0.44977,1.14318,0.7122,0.96757,0.001337,0.001337,0.001337
76,238764,0.7463,0.3648,0.86003,0.62921,0.78853,0.6325,0.43735,1.16922,0.71995,0.97803,0.0012875,0.0012875,0.0012875
77,241900,0.7439,0.36397,0.86199,0.73472,0.69137,0.62525,0.43182,1.15595,0.72143,0.96961,0.001238,0.001238,0.001238
78,245049,0.76468,0.37355,0.86486,0.62018,0.78172,0.63081,0.42971,1.15192,0.72498,0.97603,0.0011885,0.0011885,0.0011885
79,248198,0.75179,0.36638,0.8587,0.62517,0.79308,0.63165,0.4388,1.1601,0.73019,0.97996,0.001139,0.001139,0.001139
80,251311,0.74476,0.3631,0.85856,0.61912,0.79325,0.63795,0.4415,1.15778,0.73181,0.9784,0.0010895,0.0010895,0.0010895
81,254450,0.73393,0.35906,0.85875,0.62625,0.78361,0.63356,0.4389,1.16926,0.74669,0.98144,0.00104,0.00104,0.00104
82,257562,0.72347,0.35611,0.85782,0.62353,0.78963,0.62332,0.42893,1.15744,0.73718,0.97386,0.0009905,0.0009905,0.0009905
83,260702,0.72217,0.35673,0.85885,0.80938,0.64212,0.61312,0.42755,1.15885,0.74974,0.98196,0.000941,0.000941,0.000941
84,263843,0.72324,0.3549,0.8561,0.81438,0.64822,0.60548,0.4219,1.1619,0.74447,0.97699,0.0008915,0.0008915,0.0008915
85,266972,0.71048,0.34923,0.85447,0.62494,0.78477,0.62497,0.43218,1.18516,0.74918,0.98619,0.000842,0.000842,0.000842
86,270110,0.70293,0.34851,0.85347,0.81078,0.64603,0.59777,0.41193,1.16531,0.74243,0.98359,0.0007925,0.0007925,0.0007925
87,273239,0.71246,0.3516,0.85602,0.81145,0.64985,0.59747,0.41116,1.15104,0.74694,0.97883,0.000743,0.000743,0.000743
88,276436,0.70994,0.34909,0.85507,0.81684,0.65182,0.60906,0.42006,1.15383,0.75592,0.97516,0.0006935,0.0006935,0.0006935
89,279588,0.70924,0.34677,0.85524,0.62708,0.78712,0.6257,0.43165,1.16322,0.74947,0.98374,0.000644,0.000644,0.000644
90,282834,0.70216,0.34467,0.8532,0.81086,0.65206,0.61144,0.4207,1.16442,0.73268,0.98324,0.0005945,0.0005945,0.0005945
1,4457.47,1.03095,0.56156,0.92944,0.71027,0.61108,0.62685,0.42165,1.1997,0.77457,0.99268,0.00565517,0.00496552,0.00496552
2,8746.24,1.04486,0.58026,0.94489,0.83352,0.62393,0.71417,0.46151,1.15232,0.7318,0.96874,0.004835,0.004835,0.004835
3,13121,1.0359,0.56948,0.93768,0.74683,0.65776,0.62944,0.42444,1.18055,0.75283,0.99046,0.00467,0.00467,0.00467
4,17400.8,1.0379,0.56513,0.93488,0.56627,0.72072,0.64823,0.43086,1.15517,0.68558,0.98191,0.004505,0.004505,0.004505
5,21759,1.0133,0.54771,0.93168,0.83102,0.6261,0.61724,0.41165,1.13455,0.68547,0.96785,0.00434,0.00434,0.00434
6,26098,0.9984,0.53991,0.92445,0.73134,0.63041,0.5958,0.41198,1.14034,0.74071,0.97036,0.004175,0.004175,0.004175
7,30434.4,0.99382,0.52116,0.92045,0.5334,0.73871,0.55923,0.38044,1.14049,0.73397,0.97647,0.00401,0.00401,0.00401
8,34688.3,0.98549,0.51258,0.91851,0.70973,0.6348,0.59525,0.40291,1.15517,0.78962,0.98781,0.003845,0.003845,0.003845
9,39016.4,0.97755,0.50494,0.91436,0.60895,0.73697,0.64468,0.44503,1.16165,0.75527,0.98268,0.00368,0.00368,0.00368
10,43255,0.96612,0.50015,0.91768,0.82251,0.62861,0.58963,0.40441,1.13812,0.72249,0.96995,0.003515,0.003515,0.003515
11,47585.2,0.96306,0.50009,0.91318,0.81348,0.63326,0.59377,0.40676,1.12662,0.77101,0.98241,0.00335,0.00335,0.00335
12,51920.1,0.94963,0.4884,0.90902,0.73226,0.63065,0.59261,0.40566,1.12613,0.72212,0.96284,0.003185,0.003185,0.003185
13,56278.6,0.95142,0.48562,0.90565,0.82766,0.62321,0.60454,0.40924,1.14026,0.76632,0.97298,0.00302,0.00302,0.00302
14,60584.7,0.93404,0.47872,0.90411,0.80987,0.63321,0.59333,0.41638,1.12116,0.72377,0.97211,0.002855,0.002855,0.002855
15,64823.6,0.94289,0.47739,0.90775,0.60558,0.73149,0.59533,0.41683,1.14389,0.72863,0.96584,0.00269,0.00269,0.00269
16,69108.6,0.91973,0.46742,0.90444,0.8187,0.63641,0.63678,0.4422,1.10738,0.71772,0.95498,0.002525,0.002525,0.002525
17,73315.8,0.91218,0.46048,0.9,0.62073,0.73068,0.59962,0.4127,1.13301,0.72997,0.96291,0.00236,0.00236,0.00236
18,77699.5,0.90268,0.4591,0.89996,0.61451,0.63932,0.58517,0.41272,1.1001,0.74347,0.96186,0.002195,0.002195,0.002195
19,82030,0.9043,0.45568,0.89562,0.81537,0.63516,0.63948,0.44971,1.13242,0.71479,0.96721,0.00203,0.00203,0.00203
20,86283.3,0.89068,0.44068,0.89317,0.72194,0.63517,0.60783,0.42655,1.12909,0.7212,0.9576,0.001865,0.001865,0.001865
21,90525,0.88776,0.41322,0.90551,0.80776,0.63406,0.6075,0.41608,1.1051,0.72689,0.96272,0.0017,0.0017,0.0017
22,94722.7,0.8779,0.40236,0.89736,0.6094,0.73986,0.60326,0.42703,1.11463,0.71052,0.96602,0.001535,0.001535,0.001535
23,98921.6,0.85466,0.3914,0.89071,0.5928,0.74565,0.67845,0.46753,1.11274,0.68636,0.96422,0.00137,0.00137,0.00137
